page_id,page_type,chosen_method,adaptive_ratio,adaptive_time,lz4_ratio,lz4_time,zstd_ratio,zstd_time
221,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
222,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
223,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
224,random,lz4,0.9944,2e-06,0.9944,1e-06,0.9976,5e-06
225,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
226,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,5e-06
227,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
228,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
229,random,lz4,0.9944,2e-06,0.9944,1e-06,0.9976,5e-06
230,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
231,random,lz4,0.9944,2e-06,0.9944,1e-06,0.9976,4e-06
232,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
233,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
234,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
235,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
236,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
237,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,5e-06
238,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
239,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
240,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
241,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
242,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
243,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
244,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
245,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
